epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.2233,2.33815,3.49525,4.1524,2.07932,0.00219,0.21053,0.00167,0.00054,0.00294,0.31579,0.00197,0.00058,2.87098,4.48221,331.55,3.3891,0.00065625,0.00065625,0.00065625
2,59.9078,2.59459,2.86356,3.29292,2.40175,0.00236,0.31579,0.00158,0.00038,0.00141,0.18421,0.00073,0.00018,3.41734,5.57186,115.517,3.80204,0.0013203,0.0013203,0.0013203
3,84.554,2.91194,2.92468,3.34564,2.74912,0.0123,0.18421,0.00434,0.00121,0.01054,0.15789,0.00333,0.00054,3.37509,27.8558,240.995,11.9357,0.0019817,0.0019817,0.0019817
4,110.635,2.832,2.98204,3.31757,2.72693,0.00849,0.13158,0.00382,0.00064,0.00125,0.05263,0.00033,5e-05,3.24534,34.7394,262.239,4.30911,0.00198812,0.00198812,0.00198812
5,136.622,2.88653,2.79464,3.14865,2.72834,0.00084,0.13158,0.00141,0.00045,0,0,0,0,3.98169,444.921,inf,12.2091,0.00198416,0.00198416,0.00198416
6,160.547,2.85857,2.78836,3.12244,2.72499,0.00042,0.10526,0.00024,6e-05,0.00021,0.05263,0.00011,2e-05,3.17112,6.36001,inf,3.19218,0.0019802,0.0019802,0.0019802
7,184.107,2.73011,2.77089,2.95812,2.62843,0.00598,0.07895,0.00343,0.00099,0.00972,0.15789,0.0032,0.00088,3.08468,3.33939,10.9781,3.1704,0.00197624,0.00197624,0.00197624
8,210.333,2.69788,2.67205,2.95427,2.55844,0.00835,0.05263,0.00166,0.00049,0.00442,0.02632,0.00105,0.00032,3.41885,3.8039,32.3034,3.51673,0.00197228,0.00197228,0.00197228
9,235.139,2.62649,2.56307,2.91441,2.49243,0.02979,0.13158,0.01646,0.00423,0.07816,0.21053,0.03228,0.00849,2.90824,2.88694,5.38767,2.98893,0.00196832,0.00196832,0.00196832
10,260.786,2.58773,2.53256,2.85912,2.46077,0.01227,0.5,0.01832,0.00411,0.01172,0.13158,0.02527,0.00537,2.99816,3.01259,3.71802,2.98633,0.00196436,0.00196436,0.00196436
11,285.121,2.48519,2.52156,2.75446,2.42335,0.00961,0.57895,0.03233,0.00804,0.01092,0.65789,0.05119,0.00898,2.76516,2.91726,3.61816,2.80507,0.0019604,0.0019604,0.0019604
12,311.425,2.63535,2.39628,2.71812,2.45297,0.0401,0.36842,0.03171,0.00722,0.04583,0.42105,0.03089,0.00866,2.8998,3.16109,3.79005,2.66489,0.00195644,0.00195644,0.00195644
13,335.317,2.45954,2.47057,2.69928,2.31161,0.06199,0.23684,0.06529,0.01641,0.08652,0.26316,0.07877,0.01859,2.6049,2.98671,3.06365,2.49586,0.00195248,0.00195248,0.00195248
14,366.999,2.39334,2.42197,2.59862,2.27132,0.03827,0.13158,0.04104,0.01265,0.04079,0.07895,0.03303,0.01037,2.69763,2.56736,3.15314,2.48947,0.00194852,0.00194852,0.00194852
15,391.373,2.35095,2.43882,2.68619,2.32273,0.08187,0.28947,0.05812,0.01627,0.08931,0.31579,0.07853,0.02141,2.54235,2.27229,3.50811,2.55825,0.00194456,0.00194456,0.00194456
16,417.229,2.34329,2.48982,2.67674,2.28872,0.05629,0.26316,0.04846,0.01367,0.05629,0.26316,0.04125,0.01207,2.63426,2.50372,2.77062,2.49077,0.0019406,0.0019406,0.0019406
17,442.64,2.31337,2.38007,2.55921,2.25416,0.07654,0.36842,0.05868,0.01726,0.08747,0.42105,0.05746,0.01536,2.59882,2.31383,2.90928,2.48107,0.00193664,0.00193664,0.00193664
18,467.157,2.30056,2.4144,2.48129,2.26094,0.11944,0.26316,0.09822,0.03333,0.17104,0.26316,0.13334,0.03401,2.48266,2.46553,3.10252,2.35878,0.00193268,0.00193268,0.00193268
19,493.371,2.25024,2.29982,2.45087,2.24987,0.12227,0.28947,0.109,0.027,0.10201,0.31579,0.09309,0.03637,2.37862,2.52481,2.84078,2.3332,0.00192872,0.00192872,0.00192872
